strategy,Qwen_1.7B_MAUVE,Qwen_1.7B_ROUGE,Qwen_1.7B_BertScore,Qwen_1.7B_gen_tok,Qwen_1.7B_sec/tok,Qwen_8B_MAUVE,Qwen_8B_ROUGE,Qwen_8B_BertScore,Qwen_8B_gen_tok,Qwen_8B_sec/tok,Qwen_14B_MAUVE,Qwen_14B_ROUGE,Qwen_14B_BertScore,Qwen_14B_gen_tok,Qwen_14B_sec/tok,Medgemma_4B_MAUVE,Medgemma_4B_ROUGE,Medgemma_4B_BertScore,Medgemma_4B_gen_tok,Medgemma_4B_sec/tok,,,
greedy,0.6028,0.1683,0.8357,350.65,0.0508,0.7761,0.1847,0.8473,331.13,0.0616,0.9141,0.1931,0.8513,319.53,0.0691,0.2044,0.1491,0.8348,542.69,0.0197,,,
beam search,0.816,0.1689,0.8351,334.66,0.0524,0.9376,0.1887,0.8467,330.09,0.0708,0.887,0.1969,0.8502,318.99,0.0717,0.1513,0.1532,0.8345,538.74,0.0857,,,
diverse beam search,0.6099,0.1714,0.8348,346.77,0.0683,0.9267,0.1843,0.8474,337.67,0.0746,0.8196,0.1939,0.8497,321.09,0.0808,0.198,0.1507,0.8335,571.12,0.1073,,,
contrastive search,0.7036,0.168,0.8375,325.42,0.0596,0.8402,0.1878,0.8466,339.91,0.0715,0.9379,0.1962,0.8519,317.88,0.0804,,,,,,,,
DoLa,0.6159,0.1558,0.8306,418.42,0.0565,0.6503,0.1843,0.8468,344.38,0.069,0.8967,0.1893,0.8503,331.16,0.0821,0.1902,0.1336,0.8326,617.62,0.0883,,,
Temperature,0.4381,0.1636,0.8353,338.24,0.0454,0.7077,0.1851,0.8464,344.54,0.0573,0.9322,0.1951,0.8522,319.11,0.0655,0.3034,0.1501,0.8361,578.64,0.0194,,,
top p,0.7267,0.1658,0.835,348.45,0.0468,0.8779,0.1798,0.8472,329.36,0.0538,0.9309,0.194,0.8518,322.49,0.0589,0.3813,0.1456,0.8353,580.78,0.0195,,,
top k,0.785,0.1672,0.8367,359.37,0.0441,0.9605,0.1793,0.8451,337.24,0.0559,0.8776,0.1882,0.8497,327.39,0.0631,0.2929,0.146,0.8342,627.89,0.0187,,,
min p sampling,0.5206,0.1661,0.8353,335.27,0.0431,0.8104,0.1852,0.8458,327.56,0.0558,0.9252,0.1913,0.8505,321.19,0.0597,0.3479,0.1527,0.8347,592.79,0.0197,,,
eta,0.8427,0.1656,0.8366,340.59,0.0461,0.9473,0.1792,0.8443,354.71,0.0572,0.9158,0.1924,0.8506,332.01,0.0616,0.3822,0.1436,0.8337,636.9,0.0192,,,
typical,0.676,0.1675,0.8356,346.04,0.0453,0.9395,0.1818,0.8459,346.78,0.0595,0.908,0.1953,0.8522,316.59,0.0607,0.3412,0.149,0.8362,593.81,0.0198,,,
