strategy,Qwen_1.7B_BLEU,Qwen_1.7B_ROUGE,Qwen_1.7B_BertScore,Qwen_1.7B_gen_tok,Qwen_1.7B_sec/tok,Qwen_8B_BLEU,Qwen_8B_ROUGE,Qwen_8B_BertScore,Qwen_8B_gen_tok,Qwen_8B_sec/tok,Qwen_14B_BLEU,Qwen_14B_ROUGE,Qwen_14B_BertScore,Qwen_14B_gen_tok,Qwen_14B_sec/tok,Medgemma_4B_BLEU,Medgemma_4B_ROUGE,Medgemma_4B_BertScore,Medgemma_4B_gen_tok,Medgemma_4B_sec/tok,
greedy,0.3803,0.6217,0.9464,38.47,0.0427,0.422,0.658,0.9537,38.61,0.0556,0.4422,0.6703,0.9548,38.39,0.0623,0.4075,0.6497,0.9497,40.32,0.0645,
beam search,0.383,0.6258,0.9469,38.39,0.0439,0.4226,0.6579,0.9538,38.6,0.0612,0.4379,0.6648,0.9543,38.4,0.0624,0.4098,0.6512,0.9502,40.12,0.0824,
diverse beam search,0.3821,0.6246,0.947,38.46,0.0502,0.4217,0.6584,0.9538,38.43,0.0634,0.4388,0.6666,0.9543,38.25,0.068,0.4033,0.6508,0.9495,40.41,0.0929,
contrastive search,0.3683,0.6218,0.9411,38.77,0.0525,0.424,0.6581,0.9529,38.51,0.0653,0.4428,0.6681,0.9546,38.37,0.0706,,,,,,
DoLa,0.3771,0.6189,0.9459,38.34,0.0455,0.4182,0.6578,0.9536,38.48,0.0659,0.4285,0.6627,0.9542,38.46,0.0745,0.3895,0.639,0.948,38.11,0.0841,
Temperature,0.3796,0.6201,0.9463,38.28,0.0413,0.4169,0.6565,0.9535,38.55,0.0539,0.4379,0.6639,0.9543,38.51,0.058,0.4205,0.6498,0.9497,39,0.0761,
top p,0.3771,0.6193,0.9462,38.57,0.0405,0.4212,0.6544,0.9535,38.83,0.0535,0.4415,0.6636,0.9547,38.27,0.0585,0.4063,0.6443,0.9484,39.16,0.0603,
top k,0.3658,0.6181,0.9463,38.44,0.0409,0.4224,0.6568,0.9537,38.44,0.0539,0.4392,0.6676,0.9547,38.27,0.0585,0.3816,0.643,0.9471,41.67,0.0586,
min p sampling,0.3762,0.6179,0.9465,38.35,0.0418,0.4234,0.6547,0.9536,38.73,0.0544,0.4419,0.664,0.9547,38.27,0.0596,0.4198,0.6472,0.9504,38.56,0.0615,
eta,0.3663,0.6188,0.946,38.34,0.0411,0.4229,0.6582,0.9537,38.46,0.055,0.4392,0.6676,0.9547,38.27,0.0593,0.3715,0.6306,0.9456,40.95,0.059,
typical,0.3811,0.6234,0.9471,38.55,0.0409,0.4278,0.658,0.954,38.9,0.0536,0.4415,0.6636,0.9547,38.27,0.0581,0.42,0.6503,0.9506,38.8,0.0608,

